residue,lddt_score
1,0.21794871794871795
2,0.2785714285714286
3,0.17045454545454547
4,0.27450980392156865
5,0.1898148148148148
6,0.2028985507246377
7,0.1971830985915493
8,0.1864406779661017
9,0.21818181818181817
10,0.2803030303030303
11,0.290625
12,0.5339506172839507
13,0.7931034482758621
14,0.8636363636363635
15,0.9153846153846155
16,0.9598214285714286
17,0.9883720930232558
18,0.9722222222222222
19,0.8125
20,0.7395833333333334
21,0.825
22,0.8796296296296297
23,0.9655172413793103
24,0.9296875
25,0.8888888888888888
26,0.9186046511627907
27,0.9107142857142858
28,0.9583333333333334
29,0.9627659574468085
30,0.8893442622950819
31,0.9387755102040816
32,0.9481132075471699
33,0.9621212121212122
34,0.9522058823529412
35,0.9318181818181819
36,0.9642857142857143
37,0.9471830985915493
38,0.958955223880597
39,0.9438775510204082
40,0.9439655172413793
41,0.9626865671641791
42,0.9545454545454546
43,0.9858490566037736
44,0.95625
45,0.9926470588235294
46,0.9513888888888888
47,0.9895833333333334
48,1.0
49,1.0
50,0.9973118279569892
51,0.9736842105263158
52,0.9305555555555556
53,0.8898809523809523
54,0.9166666666666666
55,0.7602739726027397
56,0.8307692307692308
57,0.9256756756756757
58,0.9199999999999999
59,0.9359756097560975
60,0.9695121951219512
61,0.9888059701492538
62,0.9440298507462687
63,0.9264705882352942
64,0.9262295081967213
65,0.9285714285714286
66,0.8963414634146342
67,0.936046511627907
68,0.9761904761904762
69,0.9764150943396226
70,0.9953703703703703
71,0.9931506849315068
72,0.9965753424657534
73,0.967948717948718
74,0.9131944444444444
75,0.8529411764705882
76,0.7870370370370371
77,0.7598039215686274
78,0.7307692307692308
79,0.6904761904761905
80,0.740909090909091
81,0.88
82,0.875
83,0.8555555555555555
84,0.9285714285714286
85,0.955
86,0.9624999999999999
87,0.9593023255813954
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,0.9940476190476191
95,0.9428571428571428
96,0.9734042553191489
97,0.9956896551724138
98,0.9872881355932204
99,0.9444444444444444
100,0.9438775510204082
101,0.8693181818181819
102,0.9017857142857144
103,0.8962264150943395
104,0.9461538461538462
105,0.9285714285714285
106,0.9207317073170731
107,1.0
108,0.993421052631579
109,1.0
110,1.0
111,1.0
112,1.0
113,1.0
114,1.0
115,0.9956140350877193
116,0.9967532467532467
117,0.9973958333333334
118,0.9435483870967742
119,0.96875
120,0.9215116279069767
121,0.9005376344086021
122,0.877906976744186
123,0.90625
124,0.8519736842105263
125,0.7904411764705883
126,0.8770491803278688
127,0.8369565217391304
128,0.9125000000000001
129,0.9661016949152543
130,0.9901960784313726
131,0.9886363636363636
132,0.9779411764705883
133,0.9895833333333334
134,0.9870689655172413
135,1.0
136,1.0
137,0.9959677419354839
138,1.0
139,1.0
140,1.0
141,0.9940476190476191
142,0.9932432432432432
143,0.9875
144,1.0
145,0.99609375
146,0.9939759036144579
147,0.9880952380952381
148,0.9917582417582418
149,0.9738372093023255
150,0.9517045454545454
151,0.909375
152,0.93359375
153,0.9181034482758621
154,0.8953488372093024
155,0.8928571428571428
156,0.8
157,0.8333333333333334
158,0.8913043478260869
159,0.975
160,0.9047619047619048
161,0.8583333333333334
162,0.8916666666666666
163,0.890625
164,0.875
165,0.8775510204081634
166,0.8138297872340425
167,0.796875
168,0.765625
169,0.7629310344827587
170,0.7166666666666666
171,0.6535087719298246
172,0.6704545454545454
173,0.690677966101695
174,0.76953125
175,0.8031914893617021
176,0.8516949152542372
177,0.8768656716417911
178,0.9622641509433962
179,0.9555555555555555
180,0.9619565217391304
181,0.9186046511627907
182,0.9313725490196079
183,0.9880952380952381
184,1.0
185,0.9880952380952381
186,0.9903846153846154
187,0.9916666666666667
188,0.9878048780487805
189,0.9924242424242424
190,0.985
191,0.9940476190476191
192,0.9952830188679245
193,0.9888888888888889
194,0.9897959183673469
195,0.9728260869565217
196,0.9418604651162791
197,0.9509803921568627
198,0.9375
199,0.9705882352941176
200,0.9780701754385965
201,0.9636363636363636
202,0.9456521739130435
203,0.9764150943396226
204,0.9423076923076923
205,0.8940677966101696
206,0.8773584905660378
207,0.9596774193548387
208,0.8892857142857143
209,0.9009433962264151
210,0.9183673469387754
211,0.8557692307692308
212,0.8622448979591837
213,0.9047619047619048
214,0.9204545454545454
215,0.8489583333333334
216,0.9054054054054055
217,0.9482758620689655
218,0.8455882352941176
219,0.896551724137931
220,0.8804347826086956
221,0.875
222,0.7999999999999999
223,0.8173076923076923
224,0.782608695652174
225,0.5984848484848484
226,0.6346153846153846
227,0.6465517241379309
228,0.89
229,0.7132352941176471
230,0.6607142857142857
231,0.7797619047619048
232,0.7445652173913044
233,0.6886792452830188
234,0.725
235,0.8055555555555556
236,0.7363636363636363
237,0.6305970149253731
238,0.7653846153846153
239,0.8418367346938775
240,0.75
241,0.7388059701492538
242,0.9419642857142857
243,0.8315217391304348
244,0.953125
245,0.8913043478260869
246,0.8382352941176471
247,0.9154411764705883
248,0.9067164179104478
249,0.9444444444444444
250,0.9722222222222222
251,0.9722222222222222
252,0.9964285714285714
253,0.9848484848484849
254,0.9961538461538462
255,0.9956140350877193
256,1.0
257,0.8888888888888888
